,Name,Variety,Elevation,Region,Process,Filter,temperature,Microns,Mahlkonig EK43,Baratza Encore,Baratza Vario+,Comandante C40,Fellow Ode Gen 2,Drain
1,Framily,Heirloom,2000,Yirgacheffe,Washed,v60 Cone Filter,95.55555555555556,570,8.2,13,5v,19,3.66,0 days 00:03:40
2,Ethiopia Hambela Bishan Fugu,Heirloom,2000,Guji,Washed,Kalita 185 Filter,95.0,756,11.0,21,8q,25,5.0,0 days 00:03:11
3,Kenya Gichathaini AA,SL28 SL34 & Batian,1800,Nyeri,Washed,Cone filter,95.0,682,10.0,18,7o,23,4.0,0 days 00:03:30
4,Colombia Aponte Village,Caturra Bourbon & Castillo,2100,Narino,Honey,v60 Cone Filter,96.11111111111111,653,9.5,17,7e,22,4.3,0 days 00:02:50
5,Mexico Puebla Zapotitlan #2,Bourbon & Typica,1650,Puebla,Washed,Kalita 185 Flat Filter,96.11111111111111,515,7.5,11,5e,17,3.3,0 days 00:03:10
6,Costa Rica Las Lajas Black Honey,Catuai,1600,Alajuela,Honey,Kalita 185 Flat Filter,96.11111111111111,490,7.1,10,4s,16,3.0,0 days 00:02:45
7,Burundi Long Miles Gaharo Hill,Red Bourbon,1950,Kayanza,Washed,v60 Cone Filter,94.44444444444444,528,7.5,12,5i,18,3.3,0 days 00:04:00
8,Guatemala Finca Travesia Natural,Bourbon Catuai & Caturra,,Antigua,Natural,Kalita 185 Filter,94.44444444444444,490,7.1,10,4s,16,3.0,0 days 00:02:50
9,El Salvador Santa Rosa Honey,Pacamara,1800,Chalatenango,Honey,Kalita Flat Filter,95.55555555555556,610,8.8,15,6m,20,4.0,0 days 00:02:55
10,Kenya Muthingini AA,SL28 SL34 & Batian,1800,Kirinyaga,Washed,Kalita 185 Flat Filter,96.11111111111111,721,10.5,20,8f,24,5.0,0 days 00:03:00
11,El Salvador Santa Rosa,Pacamara,,Chalatenango,Washed,Kalita Flat Filter,94.44444444444444,569,8.2,13,5v,19,3.66,0 days 00:03:00
12,Ethiopia Gedeb Beriti Natural,Heirloom,2000,Gedeb,Natural,V60 Cone Filter,96.11111111111111,515,7.5,11,5e,17,3.3,0 days 00:03:25
13,Krampus PB,SL28 SL34 & Batian,1800,Kirinyaga,Washed,Flat Kalita Filter,93.33333333333333,550,8.0,13,5p,18,3.66,0 days 00:03:05
14,Panama Creativa Giovana Boutet Anaerobic,Cataui,1500,Alto Quiel,Anaerobic & Natural,Cone Filter,93.33333333333333,490,7.1,10,4s,16,3.0,0 days 00:03:00
15,Kenya Kagunyu AA Natural,SL28 SL34 & Batian,1900,Nyeri,Natural,Cone Filter,96.11111111111111,562,8.2,13,5t,19,3.0,0 days 00:03:15
16,Ethiopia Gedeb Gotiti,Heirloom,2050,Gedeb,Washed,Cone Filter,95.55555555555556,632,9.2,16,6u,21,4.3,0 days 00:03:40
17,Mexico Finca Las Chicharras Natural,Bourbon & Typica,1500,Jaltenango,Natural,Cone Filter,95.0,584,8.5,14,6e,19,4.0,0 days 00:03:10
18,Burundi Long Miles Gaharo Natural,Red Bourbon,1950,Kayanza,Natural,Cone Filter,95.0,730,10.6,20,8h,24,5.0,0 days 00:03:15
19,Honduras San Andres Lempa,Caturra & Bourbon,1650,Lempira,Washed,Flat Filter,95.55555555555556,618,9.0,16,6p,21,4.0,0 days 00:03:30
20,Ethiopia Yirgacheffe Halo Lot #8,Heirloom,2050,Yirgacheffe,Washed,Flat Filter,95.55555555555556,687,10.0,18,7p,23,4.6,0 days 00:03:45
21,Guatemala Las Nueces,Pacas,2000,Nuevo Oriente & Jalapa,Washed,Cone Filter,96.11111111111111,687,10.0,18,7p,23,4.6,0 days 00:03:55
22,Bolivia Caranavi Matriarcas Project,Bourbon,,Caranavi,Washed,Cone Filter,95.55555555555556,687,10.0,18,7p,23,4.6,0 days 00:03:25
23,Ethiopia Guji Bale Mountain Natural,Heirloom,2000,Guji,Natural,Cone Filter,95.55555555555556,442,6.5,8,4c,15,2.0,0 days 00:04:00
24,Colombia Huila Finca Samboni Gesha,Gesha,1850,Huila,Anaerobic Washed,Flat Filter,95.0,515,7.5,11,5e,17,3.3,0 days 00:03:40
